seed,steps,bool
0,1159,1
1,1159,1
2,1159,1
3,1163,1
4,1162,1
5,1158,1
6,1161,1
7,1159,1
8,1158,1
9,1163,1
10,1162,1
11,1158,1
12,1160,1
13,1158,1
14,1160,1
15,1162,1
16,1167,1
17,1164,1
18,1160,1
19,1162,1
20,1163,1
21,1157,1
22,1157,1
23,1158,1
24,1161,1
25,1157,1
26,1159,1
27,1162,1
28,1159,1
29,1160,1
30,1160,1
31,1165,1
32,1153,1
33,1160,1
34,1162,1
35,1160,1
36,1161,1
37,1162,1
38,1157,1
39,1160,1
40,1155,1
41,1157,1
42,1161,1
43,1156,1
44,1160,1
45,1159,1
46,1161,1
47,1161,1
48,1156,1
49,1165,1
