seed,steps,bool
0,109,0
1,107,0
2,62,0
3,107,0
4,61,1
5,71,0
6,73,0
7,181,0
8,75,0
9,147,0
10,25,0
11,171,0
12,116,0
13,112,0
14,62,0
15,76,0
16,96,0
17,55,0
18,63,0
19,100,0
20,57,0
21,56,0
22,76,0
23,48,0
24,27,0
25,89,0
26,81,0
27,31,0
28,37,0
29,56,0
30,146,0
31,98,0
32,73,0
33,68,0
34,64,0
35,44,0
36,71,0
37,57,0
38,133,0
39,196,0
40,47,0
41,51,0
42,71,0
43,31,0
44,183,0
45,75,0
46,108,0
47,84,0
48,148,0
49,41,0
50,106,0
51,47,0
52,37,0
53,53,0
54,86,1
55,28,1
56,135,0
57,76,0
58,112,0
59,115,0
60,95,0
61,107,0
62,43,0
63,49,0
64,68,0
65,51,0
66,59,0
67,199,0
68,67,0
69,98,0
70,99,0
71,29,0
72,61,0
73,68,0
74,123,0
75,43,0
76,59,0
77,61,0
78,47,0
79,81,0
80,131,1
81,67,0
82,16,0
83,47,1
84,58,0
85,49,0
86,79,0
87,86,0
88,40,0
89,48,0
90,58,1
91,180,0
92,38,0
93,96,0
94,301,0
95,49,0
96,46,0
97,74,0
98,173,0
99,87,0
100,33,0
101,178,0
102,49,0
103,42,0
104,93,0
105,85,0
106,66,0
107,64,0
108,227,0
109,63,0
110,116,0
111,57,0
112,45,0
113,56,0
114,62,0
115,94,0
116,63,0
117,92,0
118,184,0
119,109,0
120,154,0
121,109,0
122,121,0
123,25,0
124,21,0
125,143,0
126,55,0
127,65,0
128,52,0
129,32,0
130,79,0
131,94,0
132,89,0
133,113,0
134,38,0
135,75,0
136,75,0
137,178,0
138,167,0
139,113,0
140,60,0
141,188,0
142,52,0
143,66,0
144,56,0
145,64,0
146,89,0
147,73,0
148,71,0
149,55,0
150,192,0
151,34,0
152,35,0
153,33,0
154,76,0
155,41,0
156,110,0
157,46,0
158,61,0
159,85,1
160,76,0
161,51,0
162,53,0
163,222,0
164,33,0
165,78,0
166,71,1
167,44,0
168,38,0
169,43,0
170,68,0
171,42,0
172,210,0
173,109,0
174,66,0
175,59,0
176,38,0
177,72,0
178,60,0
179,108,0
180,38,0
181,145,0
182,83,0
183,54,0
184,97,0
185,120,0
186,50,0
187,103,0
188,33,0
189,67,0
190,139,1
191,71,0
192,133,1
193,26,0
194,55,0
195,21,0
196,75,0
197,27,0
198,91,0
199,198,0
200,80,0
201,35,0
202,95,0
203,99,0
204,165,0
205,112,0
206,54,0
207,116,0
208,92,0
209,34,0
210,33,0
211,120,0
212,39,0
213,99,0
214,31,0
215,115,0
216,42,0
217,40,0
218,98,0
219,67,0
220,48,0
221,149,0
222,96,0
223,18,0
224,59,0
225,241,1
226,76,0
227,42,0
228,97,1
229,33,0
230,192,0
231,100,0
232,62,0
233,39,0
234,139,0
235,90,0
236,38,0
237,83,0
238,37,0
239,84,0
240,49,0
241,100,0
242,199,0
243,75,0
244,237,0
245,40,0
246,27,0
247,44,0
248,51,0
249,181,0
250,135,0
251,22,0
252,49,0
253,97,0
254,46,0
255,158,0
256,40,0
257,30,0
