seed,steps,bool
0,6,0
1,6,0
2,11,0
3,15,0
4,15,0
5,10,0
6,13,0
7,12,0
8,11,0
9,9,0
10,7,0
11,9,0
12,12,0
13,9,0
14,7,0
15,8,0
16,12,0
17,17,0
18,9,0
19,15,0
20,15,0
21,11,0
22,8,0
23,8,0
24,13,0
25,9,0
26,6,0
27,13,0
28,21,0
29,16,0
30,15,0
31,11,0
32,11,0
33,8,0
34,9,0
35,20,0
36,5,0
37,7,0
38,7,0
39,11,0
40,13,0
41,14,0
42,17,0
43,6,0
44,6,0
45,10,0
46,5,0
47,7,0
48,9,0
49,8,0
50,9,0
51,7,0
52,8,0
53,9,0
54,16,0
55,7,0
56,14,0
57,6,0
58,6,0
59,12,0
60,11,0
61,8,0
62,13,0
63,10,0
64,6,0
65,11,0
66,11,0
67,6,0
68,9,0
69,8,0
70,11,0
71,16,0
72,6,0
73,16,0
74,21,0
75,13,0
76,25,0
77,9,0
78,7,0
79,16,0
80,5,0
81,10,0
82,5,0
83,4,0
84,11,0
85,9,0
86,22,0
87,6,0
88,6,0
89,11,0
90,6,0
91,18,0
92,8,0
93,12,0
94,13,0
95,14,0
96,3,0
97,7,0
98,10,0
99,9,0
