seed,steps,bool
0,6,0
1,10,0
2,2,0
3,3,0
4,7,0
5,2,1
6,7,0
7,7,0
8,8,1
9,5,0
10,4,1
11,2,0
12,3,1
13,4,0
14,6,0
15,5,0
16,4,0
17,10,0
18,6,0
19,8,0
20,2,1
21,4,0
22,9,0
23,4,0
24,7,0
25,4,1
26,7,1
27,2,0
28,2,0
29,6,0
30,4,0
31,4,0
32,8,0
33,7,1
34,9,0
35,4,0
36,2,1
37,2,0
38,2,0
39,7,0
40,7,0
41,4,0
42,6,0
43,4,1
44,8,0
45,4,1
46,2,0
47,5,1
48,3,0
49,3,1
50,4,0
51,8,0
52,7,0
53,2,0
54,4,1
55,5,0
56,3,1
57,6,1
58,3,0
59,3,0
60,2,0
61,4,0
62,4,1
63,5,0
64,6,0
65,4,0
66,3,0
67,4,0
68,2,0
69,2,0
70,2,1
71,3,0
72,2,0
73,4,0
74,8,0
75,4,0
76,8,1
77,2,0
78,3,0
79,5,0
80,2,0
81,3,0
82,3,0
83,3,0
84,4,0
85,5,0
86,8,1
87,4,1
88,2,1
89,4,1
90,3,0
91,3,0
92,3,1
93,4,0
94,3,0
95,7,0
96,2,0
97,4,0
98,5,1
99,5,1
100,3,0
101,5,1
102,2,0
103,3,1
104,5,1
105,4,0
106,8,1
107,9,1
108,3,1
109,8,0
110,2,1
111,8,0
112,2,1
113,10,0
114,6,0
115,9,0
116,6,0
117,8,0
118,2,0
119,6,0
120,6,1
121,5,0
122,8,0
123,6,0
124,5,0
125,9,0
126,7,0
127,9,0
128,11,0
129,2,0
130,2,0
131,8,1
132,3,1
133,5,0
134,3,1
135,7,0
136,3,0
137,5,1
138,2,0
139,8,0
140,3,0
141,3,1
142,3,0
143,9,0
144,7,0
145,2,0
146,4,0
147,8,0
148,9,0
149,6,0
150,3,0
151,8,1
152,3,0
153,7,0
154,2,0
155,5,1
156,5,0
157,6,0
158,5,0
159,7,0
160,2,0
161,9,0
162,2,0
163,2,1
164,9,1
165,7,1
166,7,0
167,8,0
168,7,1
169,7,0
170,2,0
171,5,1
172,2,0
173,5,0
174,10,1
175,6,0
176,9,0
177,7,0
178,2,1
179,2,0
180,5,0
181,10,0
182,9,1
183,7,0
184,9,0
185,2,0
186,5,0
187,2,0
188,6,1
189,9,0
190,5,1
191,10,0
192,5,1
193,9,0
194,2,0
195,2,0
196,8,0
197,6,1
198,8,0
199,8,1
200,8,0
201,4,1
202,8,0
203,2,0
204,2,0
205,2,0
206,8,0
207,5,1
208,6,0
209,8,0
210,6,0
211,7,0
212,6,0
213,6,1
214,8,0
215,6,1
216,7,0
217,11,0
218,6,0
219,6,1
220,8,1
221,9,0
222,7,0
223,7,0
224,10,0
225,8,0
226,6,0
227,2,0
228,10,1
229,5,1
230,8,0
231,7,1
232,6,1
233,6,1
234,7,0
235,2,0
236,8,0
237,2,0
238,7,0
239,5,0
240,7,0
241,5,1
242,7,0
243,6,0
244,5,1
245,3,0
246,2,0
247,2,1
248,8,0
249,6,1
250,4,0
251,6,1
252,6,0
253,9,0
254,8,0
255,2,0
256,6,1
257,10,1
258,8,1
259,9,0
260,4,0
261,2,0
262,6,1
263,5,0
264,9,0
265,7,0
266,4,0
267,5,0
268,3,0
269,2,0
270,8,0
271,2,1
272,4,0
273,10,0
274,10,0
275,7,0
276,8,0
277,2,1
278,4,0
279,2,0
280,10,0
281,3,1
282,7,0
283,5,0
284,4,0
285,2,0
286,7,0
287,3,1
288,2,0
289,6,0
290,5,1
291,3,0
292,8,0
293,6,0
294,2,0
295,5,0
296,9,0
297,2,0
298,8,0
299,3,1
300,4,0
301,4,0
302,8,0
303,2,1
304,2,0
305,8,0
306,5,0
307,9,0
308,4,0
309,8,1
310,2,0
311,7,0
312,3,0
313,5,1
314,7,1
315,8,0
316,5,0
317,6,0
318,5,0
319,4,0
320,12,0
321,2,1
322,3,0
323,6,1
324,8,0
325,7,1
326,9,0
327,7,0
328,2,1
329,2,0
330,5,1
331,4,0
332,3,1
333,7,0
334,3,0
335,7,0
336,6,1
337,2,0
338,5,1
339,6,0
340,3,0
341,9,1
342,7,1
343,3,0
344,8,1
345,7,0
346,8,1
347,9,0
348,8,0
349,5,1
350,4,1
351,3,1
352,2,0
353,4,0
354,2,0
355,5,0
356,4,1
357,7,1
358,10,0
359,7,0
360,7,0
361,7,0
362,3,1
363,2,0
364,3,1
365,7,1
366,4,0
367,8,1
368,7,0
369,7,0
370,2,0
371,5,0
372,3,0
373,9,0
374,8,0
375,8,0
376,11,0
377,9,1
378,7,0
379,8,1
380,2,0
381,8,0
382,6,1
383,7,1
384,6,0
385,10,1
386,2,1
387,7,0
388,6,0
389,2,0
390,10,0
391,6,1
392,8,0
393,5,1
394,10,0
395,6,0
396,2,0
397,8,1
398,8,0
399,8,0
400,5,0
401,8,0
402,6,0
403,3,0
404,5,1
405,3,0
406,7,1
407,8,1
408,6,0
409,8,0
410,6,1
411,5,0
412,8,0
413,8,0
414,3,1
415,9,1
416,9,0
417,5,1
418,9,0
419,7,0
420,7,1
421,7,0
422,2,1
423,6,0
424,8,1
425,6,1
426,6,1
427,2,1
428,2,1
429,10,0
430,7,0
431,9,0
432,7,0
433,4,0
434,7,0
435,8,0
436,7,1
437,2,0
438,2,1
439,2,1
440,7,0
441,8,0
442,8,1
443,5,0
444,9,0
445,4,0
446,2,0
447,9,1
448,7,1
449,8,0
450,10,1
451,7,0
452,5,1
453,2,0
454,6,1
455,7,0
456,8,1
457,6,0
458,8,0
459,6,1
460,5,1
