seed,steps,bool
0,1631,1
1,1486,1
2,1120,1
3,1183,1
4,1145,1
5,1171,1
6,1266,1
7,1001,1
8,1207,1
9,1678,1
10,1172,1
11,1256,1
12,1138,1
13,1035,1
14,1025,1
15,1529,1
16,1221,1
17,1469,1
18,1178,1
19,1160,1
20,1011,1
21,1137,1
22,1035,1
23,1184,1
24,988,1
25,2264,1
26,1014,1
27,722,1
28,1094,1
29,1276,1
30,1065,1
31,1429,1
32,1120,1
33,1060,1
34,1153,1
35,1061,1
36,1007,1
37,1486,1
38,1141,1
39,1166,1
40,1134,1
41,1040,1
42,955,1
43,1039,1
44,1058,1
45,1050,1
46,1055,1
47,1125,1
48,1034,1
49,1239,1
